match_id,home_score,away_score,result,played_at
1,2,0,H,2026-06-11T19:00:00Z
2,2,1,H,2026-06-12T02:00:00Z
3,1,1,D,2026-06-12T19:00:00Z
5,1,1,D,2026-06-13T19:00:00Z
6,1,1,D,2026-06-13T22:00:00Z
7,0,1,A,2026-06-14T01:00:00Z
8,2,0,H,2026-06-14T04:00:00Z
9,7,1,H,2026-06-14T17:00:00Z
10,2,2,D,2026-06-14T20:00:00Z
12,5,1,H,2026-06-15T02:00:00Z
14,1,1,D,2026-06-15T19:00:00Z
15,1,1,D,2026-06-15T22:00:00Z
17,3,1,H,2026-06-16T19:00:00Z
18,1,4,A,2026-06-16T22:00:00Z
19,3,0,H,2026-06-17T01:00:00Z
20,3,1,H,2026-06-17T04:00:00Z
21,1,1,D,2026-06-17T17:00:00Z
22,4,2,H,2026-06-17T20:00:00Z
23,1,0,H,2026-06-17T23:00:00Z
24,1,3,A,2026-06-18T02:00:00Z
25,1,1,D,2026-06-18T16:00:00Z
26,4,1,H,2026-06-18T19:00:00Z
27,6,0,H,2026-06-18T22:00:00Z
28,1,0,H,2026-06-19T01:00:00Z
30,0,1,A,2026-06-19T22:00:00Z
31,3,0,H,2026-06-20T00:30:00Z
32,0,1,A,2026-06-20T03:00:00Z
33,5,1,H,2026-06-20T17:00:00Z
35,0,0,D,2026-06-21T00:00:00Z
36,0,4,A,2026-06-21T04:00:00Z
37,4,0,H,2026-06-21T16:00:00Z
40,1,3,A,2026-06-22T01:00:00Z
41,2,0,H,2026-06-22T17:00:00Z
42,3,0,H,2026-06-22T21:00:00Z
43,3,2,H,2026-06-23T00:00:00Z
44,1,2,A,2026-06-23T03:00:00Z
45,5,0,H,2026-06-23T17:00:00Z
46,0,0,D,2026-06-23T20:00:00Z
47,0,1,A,2026-06-23T23:00:00Z
48,1,0,H,2026-06-24T02:00:00Z
49,2,1,H,2026-06-24T19:00:00Z
50,3,1,H,2026-06-24T19:00:00Z
52,4,2,H,2026-06-24T22:00:00Z
51,0,3,A,2026-06-24T22:00:00Z
53,0,3,A,2026-06-25T01:00:00Z
54,1,0,H,2026-06-25T01:00:00Z
56,2,1,H,2026-06-25T20:00:00Z
58,1,3,A,2026-06-25T23:00:00Z
57,1,1,D,2026-06-25T23:00:00Z
60,0,0,D,2026-06-26T02:00:00Z
61,1,4,A,2026-06-26T19:00:00Z
62,5,0,H,2026-06-26T19:00:00Z
64,0,1,A,2026-06-27T00:00:00Z
66,1,5,A,2026-06-27T03:00:00Z
67,0,2,A,2026-06-27T21:00:00Z
68,2,1,H,2026-06-27T21:00:00Z
69,0,0,D,2026-06-27T23:30:00Z
70,3,1,H,2026-06-27T23:30:00Z
72,1,3,A,2026-06-28T02:00:00Z
71,3,3,D,2026-06-28T02:00:00Z
